"LY","Yafran","`Aawinah"
"LY","Tarabulus","Ab'Ar As Sababil"
"LY","An Nuqat Al Khams","Abu Ar Rish"
"LY","Al Aziziyah","Abu Ghaylan"
"LY","Az Zawiyah","Abu `Isa"
"LY","An Nuqat Al Khams","Abu Kammash"
"LY","Misratah","Abu Njaym"
"LY","Misratah","Abu Nujaym"
"LY","Misratah","Abuqrin"
"LY","Misratah","Abu Qurayn"
"LY","Tarabulus","Abu Salim"
"LY","Gharyan","Abu Zayyan"
"LY","Gharyan","Abu Ziyyan"
"LY","Tarabulus","Abyar As Sababil"
"LY","Tubruq","Acroma"
"LY","Misratah","Ad Dafiniyah"
"LY","Misratah","Ad Dafniyah"
"LY","Tarhunah","Ad Dawun"
"LY","Gharyan","Ad Dayasir"
"LY","Ash Shati'","Ad Duwaysah"
"LY","Ash Shati'","Adiri"
"LY","Ajdabiya","Adjadabia"
"LY","Ash Shati'","Adri"
"LY","Tarabulus","Aea"
"LY","Ash Shati'","Agar"
"LY","Ajdabiya","Agedabia"
"LY","An Nuqat Al Khams","Agelat"
"LY","Murzuq","Aggar"
"LY","Ajdabiya","Agheila"
"LY","Yafran","Ahl Al Wadi"
"LY","Al Jabal Al Akhdar","Ahqaf Al Jabbarat"
"LY","Al Jabal Al Akhdar","Ahqaf Al Jabhiyah"
"LY","Al Jabal Al Akhdar","Ahqaf Al Jabhiyh"
"LY","Ghadamis","Ain Ghezaia"
"LY","Tarabulus","Ain Zara"
"LY","Ajdabiya","Ajdabiya"
"LY","Ajdabiya","Ajdabiyah"
"LY","Tubruq","`Akramah"
"LY","Gharyan","Al A`Aqib"
"LY","Awbari","Al Abyad"
"LY","Tubruq","Al `Adam"
"LY","Tubruq","Al `Adm"
"LY","An Nuqat Al Khams","Al `Ajaylat"
"LY","Al Khums","Al `Akarit"
"LY","Yafran","Al `Alawinah"
"LY","Al Khums","Al `Amamirah"
"LY","Gharyan","Al Asabi`Ah"
"LY","Tubruq","Al Ashhab"
"LY","Misratah","Al Aswaq"
"LY","Al Kufrah","Al `Awaynat"
"LY","Murzuq","Al Awaynat"
"LY","Al Aziziyah","Al `Aziziyah"
"LY","Murzuq","Al Badr"
"LY","Yafran","Al Bakhabikhah"
"LY","Murzuq","Al Bakki"
"LY","Tubruq","Al Bardi"
"LY","Tubruq","Al Bardiyah"
"LY","Murzuq","Al Barkat"
"LY","Yafran","Al Bayatinah"
"LY","Murzuq","Al Baydan"
"LY","Al Fatih","Al Bayyadah"
"LY","Murzuq","Al Birkah"
"LY","Banghazi","Al Birkah"
"LY","Yafran","Al Biyatinah"
"LY","Misratah","Al Bu'Ayrat"
"LY","Murzuq","Al Budayr"
"LY","Yafran","Al Buhur"
"LY","Ajdabiya","Al Burayqah"
"LY","Tubruq","Al Burdi"
"LY","Gharyan","Al Dayasir"
"LY","Al Jabal Al Akhdar","Al Fa'Idiyah"
"LY","Tarabulus","Al Fatih"
"LY","Yafran","Al Fawadil"
"LY","Zlitan","Al Fawatir"
"LY","Al Khums","Al Fawatir"
"LY","Ghadamis","Al Fayasilah"
"LY","Al Jabal Al Akhdar","Al Fayidiyah"
"LY","Al Jufrah","Al-Foqaha'"
"LY","Awbari","Al Fujayj"
"LY","Al Jufrah","Al Fuqaha'"
"LY","Awbari","Al Fuqar"
"LY","Tarabulus","Al Furnaj"
"LY","Banghazi","Al Fuwayhat"
"LY","Banghazi","Al Ghaddarah"
"LY","Misratah","Al Ghiran"
"LY","Awbari","Al Ghuraybat"
"LY","Awbari","Al Ghurayfah"
"LY","Misratah","Al Ghut"
"LY","Misratah","Al Habarah"
"LY","Misratah","Al Hadari`Ah"
"LY","Gharyan","Al Hajarah"
"LY","Sawfajjin","Al Halamah"
"LY","Tarabulus","Al Hamidiyah"
"LY","Awbari","Al Hamra'"
"LY","Al Jabal Al Akhdar","Al Haniyah"
"LY","Tarabulus","Al Hanshir"
"LY","Ghadamis","Al Harabah"
"LY","Az Zawiyah","Al Harah"
"LY","Ghadamis","Al Haraibah"
"LY","Ghadamis","Al Harayibah"
"LY","Az Zawiyah","Al Hashiyah Al Hamra'"
"LY","Awbari","Al Hatiyah"
"LY","Ghadamis","Al Hawamid"
"LY","Al Kufrah","Al Hawwari"
"LY","Misratah","Al Hayshah"
"LY","Tarabulus","Al Hinshir"
"LY","Misratah","Al Hishah"
"LY","Az Zawiyah","Al Hurshah"
"LY","Zlitan","Al Huwayjat"
"LY","Darnah","Al `Izziyat"
"LY","Gharyan","Al Ja`Afirah"
"LY","Sabha","Al Jadid"
"LY","Tubruq","Al Jaghbub"
"LY","An Nuqat Al Khams","Al Jamil"
"LY","Gharyan","Al Jawahiliyah"
"LY","Gharyan","Al Jawahiliyyah"
"LY","Al Kufrah","Al Jawf"
"LY","Ghadamis","Al Jawsh Al Kabir"
"LY","Ghadamis","Al Jawsh As Saghir"
"LY","Al Kufrah","Al-Jof"
"LY","Gharyan","Al Juhaysh"
"LY","Zlitan","Al Jum`Ah"
"LY","An Nuqat Al Khams","Al Jumayl"
"LY","Misratah","Al Kararim"
"LY","Banghazi","Al Karmah"
"LY","Gharyan","Al Kashalifab"
"LY","Gharyan","Al Kashalifah"
"LY","Murzuq","Al Katrun"
"LY","Tarhunah","Al Khadra'"
"LY","Yafran","Al Khala'Ifah"
"LY","Awbari","Al Khara'Iq"
"LY","Yafran","Al Khazur"
"LY","Ghadamis","Al Khirbah"
"LY","Yafran","Al Khirbah"
"LY","Al Khums","Al Khums"
"LY","Al Kufrah","Al Kufrah"
"LY","Gharyan","Al Kulaybah"
"LY","Gharyan","Al Kumayshat"
"LY","Al Khums","Al Kurrathiyah"
"LY","Yafran","Al Kurumah"
"LY","Al Khums","Al Kussabat"
"LY","Sabha","Al-Kuwaifia"
"LY","Sabha","Al Kuwayfiyah"
"LY","Yafran","Al La`Aqib"
"LY","Gharyan","Al Lamamish"
"LY","Misratah","Al Magasibah Al Bahriyah"
"LY","Gharyan","Al Magharibah"
"LY","Al Khums","Al Maghasil"
"LY","Banghazi","Al Magrun"
"LY","Misratah","Al Mahjub"
"LY","Ash Shati'","Al Mahruqah"
"LY","Ghadamis","Al Majabirah"
"LY","Murzuq","Al Malaqi"
"LY","Az Zawiyah","Al Ma`Murah"
"LY","Yafran","Al Ma`Murah"
"LY","Gharyan","Al Manasir"
"LY","Banghazi","Al Maqarin"
"LY","Misratah","Al Maqasibah Al Bahriyah"
"LY","Misratah","Al Maqasibah Al Qibliyah"
"LY","Misratah","Al Maqawibah"
"LY","Banghazi","Al Maqrun"
"LY","Az Zawiyah","Al Mashashitah"
"LY","Yafran","Al Mashwashin"
"LY","Yafran","Al Mashwushin"
"LY","Gharyan","Al Masufiyin"
"LY","Gharyan","Al Masufiyun"
"LY","Az Zawiyah","Al Mayah"
"LY","Gharyan","Al Mayamin"
"LY","Gharyan","Al-Msufiyin"
"LY","Az Zawiyah","Al Mutrad"
"LY","Az Zawiyah","Al Muttrad"
"LY","Gharyan","Al Qabil"
"LY","Misratah","Al Qaddahiyah"
"LY","Banghazi","Al Qadhadhimah"
"LY","Gharyan","Al Qahasat"
"LY","Yafran","Al Qal`Ah"
"LY","Al Khums","Al Qalil"
"LY","Yafran","Al Qanafidh"
"LY","Yafran","Al Qaradin"
"LY","Tubruq","Al Qa`Rah"
"LY","Awbari","Al Qaraya"
"LY","Tubruq","Al Qardabah"
"LY","Tubruq","Al Qarziâ§abah"
"LY","Al Khums","Al Qasabat"
"LY","Tarhunah","Al Qasi`Ah"
"LY","Tarhunah","Al Qassiya"
"LY","Yafran","Al Qat`"
"LY","Murzuq","Al Qatrun"
"LY","Banghazi","Al Qawarishah"
"LY","Gharyan","Al Qawasim"
"LY","Gharyan","Al Qawati"
"LY","Yafran","Al Quradiyin"
"LY","Ash Shati'","Al Qurdah"
"LY","Tarhunah","Al Qusay`Ah"
"LY","Yafran","Al Qusayr"
"LY","Al Khums","Al Qusbat"
"LY","Gharyan","Al `Ubayyat"
"LY","An Nuqat Al Khams","Al `Ujaylat"
"LY","Yafran","Al `Uqaybah"
"LY","Ajdabiya","Al `Uqaylah"
"LY","Gharyan","Al `Urban"
"LY","Yafran","Al `Urqub"
"LY","Banghazi","Al `Urubah"
"LY","Al Kufrah","Al `Uwaynat"
"LY","Murzuq","Al `Uwaynat"
"LY","Gharyan","Al Wa`Diyah"
"LY","Murzuq","Al Wigh"
"LY","Zlitan","Al Wuqayyat"
"LY","Murzuq","Al Wyg"
"LY","Gharyan","Al Ya`Aqib"
"LY","Tarhunah","Ambayyah"
"LY","Tarhunah","Amhayyah"
"LY","Gharyan","Amzir"
"LY","Ajdabiya","Anabucis"
"LY","Yafran","An Nadwah"
"LY","Gharyan","An Nakhlayn"
"LY","Gharyan","An Naqur"
"LY","Al Aziziyah","An Nasariya"
"LY","Al Aziziyah","An Nasiriyah"
"LY","Banghazi","An Nawwaqiyah"
"LY","Ash Shati'","An Nusf"
"LY","Banghazi","Antalat"
"LY","Tubruq","Antipyrgos"
"LY","Tubruq","Antipyrgus"
"LY","Gharyan","Anzu"
"LY","Murzuq","Aouinet"
"LY","Ash Shati'","Aqar"
"LY","Murzuq","Aqar `Atabah"
"LY","Murzuq","`Aqqar"
"LY","Gharyan","Ar Rabitah Al Garbiyah"
"LY","Gharyan","Ar Rabitah Al Gharbiyah"
"LY","Yafran","Ar Rabitah"
"LY","Gharyan","Ar Rabitah Ash Sharqiyah"
"LY","Gharyan","Ar Rahbah"
"LY","Awbari","Ar Raheba"
"LY","Yafran","Ar Rahibat"
"LY","Misratah","Ar Rajabat"
"LY","Misratah","Ar Rajubat"
"LY","Awbari","Ar Raqabah"
"LY","Yafran","Ar Rayayinah"
"LY","Yafran","Ar Ruhabat"
"LY","Yafran","Ar Ruhaybat"
"LY","Yafran","Ar Ruhaybiyat"
"LY","Yafran","Ar Rujban"
"LY","Yafran","Ar Rumiyah"
"LY","Gharyan","Asabaa"
"LY","Al Aziziyah","Asbi`Ah"
"LY","Ash Shati'","Ashkada"
"LY","Ash Shati'","Ashkida"
"LY","Ash Shati'","Ashkidah"
"LY","Ash Shati'","Ashkudah"
"LY","Yafran","Ash Saqarinah"
"LY","Al Khums","Ash Sha`Afiyin"
"LY","Yafran","Ash Sha`Biniyah"
"LY","Yafran","Ash Shaqarinah"
"LY","Tarhunah","Ash Sharsharah"
"LY","Ghadamis","Ash Sha`Wah"
"LY","Ajdabiya","Ash Shawashinah"
"LY","Misratah","Ash Shawati"
"LY","An Nuqat Al Khams","Ash Shaykh Bu `Ujaylah"
"LY","Al Khums","Ash Shi`Afiyin"
"LY","Al Khums","Ash Shi`Afiyun"
"LY","Gharyan","Ash Shi`Taf"
"LY","Yafran","Ash Shiyab"
"LY","Misratah","Ash Shuwati"
"LY","Banghazi","As Sabiri"
"LY","Az Zawiyah","As Sabiriyah"
"LY","Gharyan","As Salahat"
"LY","Yafran","As Salamat"
"LY","Gharyan","As Salihat"
"LY","Banghazi","As Saq`Abi"
"LY","Gharyan","As Saqa'If"
"LY","Gharyan","As Sawadinah"
"LY","Gharyan","As Sawa`Idiyah"
"LY","Al Aziziyah","As Sawani"
"LY","Yafran","As Sha`Biniyah"
"LY","Murzuq","As Shetat"
"LY","Yafran","As Shiyab"
"LY","Awbari","As Snudi"
"LY","Murzuq","As Subaytat"
"LY","Surt","As Sultan"
"LY","Tarabulus","Asyadi Al `Amariyin"
"LY","Darnah","At Tahimi"
"LY","Al Kufrah","At Taj"
"LY","Gharyan","At Tala'I`Iyah"
"LY","Gharyan","At Talayi`Iyah"
"LY","Al Kufrah","At Tallab"
"LY","Darnah","At Tamimi"
"LY","Awbari","At Tanahma"
"LY","Awbari","At Tanahmu"
"LY","Banghazi","At Taribjah"
"LY","Az Zawiyah","At Tuwaybiyah"
"LY","Ajdabiya","Augila"
"LY","Awbari","Awbari"
"LY","Ajdabiya","Awjilah"
"LY","Yafran","Awlad `Abd Ad Da'Im"
"LY","Yafran","Awlad `Abd Al `Aziz `Inan"
"LY","Yafran","Awlad `Abd Allah"
"LY","Yafran","Awlad `Abd Al Mawla"
"LY","Gharyan","Awlad Abu Ras"
"LY","Gharyan","Awlad Abu Salamah"
"LY","Gharyan","Awlad Abu Slamah"
"LY","Az Zawiyah","Awlad Abu Suhayyirah"
"LY","Gharyan","Awlad `Ali"
"LY","Yafran","Awlad `Ali"
"LY","Yafran","Awlad `Ali Bu Al Qasim"
"LY","Gharyan","Awlad `Azzam"
"LY","Tarabulus","Awlad Bin Ahmad"
"LY","Gharyan","Awlad Bin Ya`Qub"
"LY","Yafran","Awlad Bu Jadid"
"LY","Gharyan","Awlad Bu Ra'S"
"LY","Yafran","Awlad Hamad"
"LY","Yafran","Awlad Hamid"
"LY","Gharyan","Awlad `Isa"
"LY","Gharyan","Awlad Jarbu`"
"LY","Yafran","Awlad Khalaf Allah"
"LY","Yafran","Awlad Khalifah"
"LY","Gharyan","Awlad Madif"
"LY","Ghadamis","Awlad Mahmud"
"LY","Gharyan","Awlad Mansur"
"LY","Yafran","Awlad Mansur"
"LY","Gharyan","Awlad Mudif"
"LY","Gharyan","Awlad Mudrif"
"LY","Gharyan","Awlad Mushad"
"LY","Gharyan","Awlad Qalasi"
"LY","Yafran","Awlad Rayyan"
"LY","Gharyan","Awlad Sa`Id"
"LY","Yafran","Awlad Sa`Id"
"LY","Gharyan","Awlad Salim"
"LY","Yafran","Awlad Sidi Khalifah"
"LY","Yafran","Awlad Si Khalifah"
"LY","Sawfajjin","Awlad Tallis"
"LY","Gharyan","Awlad `Umar"
"LY","Yafran","Awlad Yahya"
"LY","Yafran","Awlad Yusuf"
"LY","Ghadamis","`Ayn Al Ghazaya"
"LY","Ghadamis","`Ayn Ghazayah"
"LY","Tarabulus","`Ayn Zarah"
"LY","Al Aziziyah","Azizia"
"LY","Az Zawiyah","Az Zahra'"
"LY","Gharyan","Az Zamamiqah"
"LY","Murzuq","Az Zarqan"
"LY","Misratah","Az Zarruq"
"LY","Al Jabal Al Akhdar","Az Zawiyah Al Fa'Idiyah"
"LY","Az Zawiyah","Az Zawiyah Al Gherbiyah"
"LY","Tubruq","Az Zawiyah"
"LY","Az Zawiyah","Az Zawiyah"
"LY","Gharyan","Az Zawiyyah"
"LY","Murzuq","Az Zaytunah"
"LY","Sabha","Az Zighan"
"LY","Misratah","Az Zurayq"
"LY","Yafran","Az Zurqan"
"LY","Ajdabiya","Az Zuwaytinah"
"LY","Gharyan","Az Zuwayyah"
"LY","Tarabulus","Bab `Akkarah"
"LY","Tarabulus","Bab Al `Aziziyah"
"LY","Tarabulus","Bab `Aziziyah"
"LY","Tarabulus","Bab Gargaresh"
"LY","Tarabulus","Bab Najura"
"LY","Tarabulus","Bab Qaraqarish"
"LY","Tarabulus","Bab Qarqarish"
"LY","Tarabulus","Bab Taguira"
"LY","Tarabulus","Bab Tajura'"
"LY","Gharyan","Baderten"
"LY","Yafran","Baldat Al Kurumah"
"LY","Yafran","Baldat Al Qawasim"
"LY","Yafran","Baldat Al `Umyan"
"LY","Yafran","Baldat Al `Uqaybah"
"LY","Yafran","Baldat At Fawadil"
"LY","Yafran","Baldat Awlad `Ali"
"LY","Yafran","Baldat Awlad Milad"
"LY","Ghadamis","Baldat Daraj"
"LY","Ghadamis","Baldat Diqqi"
"LY","Ghadamis","Baldat Jarjin"
"LY","Ghadamis","Baldat Jurayjin"
"LY","Yafran","Baldat Qawasim"
"LY","Yafran","Baldat Raqraq"
"LY","Ghadamis","Baldat Tuqtah"
"LY","Yafran","Baldat `Uqaybah"
"LY","Darnah","Bamba"
"LY","Banghazi","Banghazi"
"LY","Al Khums","Bani Hasan"
"LY","Al Khums","Bani Layth"
"LY","Al Khums","Bani Muslim"
"LY","Banghazi","Baninah"
"LY","Gharyan","Bani Wazir"
"LY","Gharyan","Bani Yakhif"
"LY","Al Khums","Bani Yakhlaf"
"LY","Gharyan","Bani Yakhlaf"
"LY","Gharyan","Bani Yakhlif"
"LY","Ghadamis","Baqalah"
"LY","Ghadamis","Baqqalah"
"LY","Gharyan","Barashin"
"LY","Tubruq","Bardia"
"LY","Tubruq","Bardiyah"
"LY","Banghazi","Barka"
"LY","Ash Shati'","Barqawi"
"LY","Ash Shati'","Barqin"
"LY","Al Fatih","Battah"
"LY","Al Kufrah","Bazimah"
"LY","Murzuq","Bedan"
"LY","Ghadamis","Beggala"
"LY","Tarabulus","Belascehar"
"LY","Banghazi","Bengasi"
"LY","Banghazi","Bengazi"
"LY","Banghazi","Benghasi"
"LY","Banghazi","Benghazi"
"LY","Gharyan","Ben Iaagub"
"LY","Al Khums","Beni Hasan"
"LY","Al Khums","Beni Hsan"
"LY","Al Khums","Beni Iechlef"
"LY","Gharyan","Beni Iechlef"
"LY","Al Khums","Beni Let"
"LY","Al Khums","Beni Mislim"
"LY","Banghazi","Benina"
"LY","Gharyan","Beni Uzir"
"LY","Gharyan","Ben Mahanna"
"LY","Ghadamis","Berdj"
"LY","Banghazi","Berenice"
"LY","Ash Shati'","Bergaui"
"LY","Ash Shati'","Berghin"
"LY","Banghazi","Berka"
"LY","Ghadamis","Bghighila"
"LY","Az Zawiyah","Bianchi"
"LY","Tarabulus","Billashhir"
"LY","Tarabulus","Bin Ghashir"
"LY","Banghazi","Binghazi"
"LY","Awbari","Bint Baya"
"LY","Gharyan","Bin Yahya"
"LY","Ash Shati'","Birak"
"LY","Tubruq","Bi'R Al Ashhab"
"LY","Yafran","Bi'R Al Ghanam"
"LY","Yafran","Bi'R `Ayyad"
"LY","Ajdabiya","Bi'R Bin Ghunaymah"
"LY","Yafran","Bir El-Ghnem"
"LY","Yafran","Bir Ghnem"
"LY","Ajdabiya","Bishr"
"LY","Tubruq","Bordi Sleman"
"LY","Al Khums","Borgo Corradini"
"LY","Tarhunah","Borgo Tazzoli"
"LY","Banghazi","Borium"
"LY","Ash Shati'","Brach"
"LY","Awbari","Brech"
"LY","Tarhunah","Breviglieri"
"LY","Gharyan","Bu Aiad"
"LY","Tarabulus","Bu Al Ashhar"
"LY","Misratah","Bu'Ayrat Al Hasun"
"LY","An Nuqat Al Khams","Bu Chemmasc"
"LY","Misratah","Buerat Al-Hsun"
"LY","Misratah","Buerat"
"LY","Misratah","Buerat El-Hsun"
"LY","Gharyan","Bu Ghaylan"
"LY","Gharyan","Bu Gheilan"
"LY","Misratah","Bugrein"
"LY","Misratah","Bu Gren"
"LY","Az Zawiyah","Bu Isa"
"LY","An Nuqat Al Khams","Bu Kammash"
"LY","An Nuqat Al Khams","Bu Kemmesh"
"LY","Gharyan","Bulis Abu Ghaylah"
"LY","Misratah","Bu Ngem"
"LY","Misratah","Bu Nujaym"
"LY","Ghadamis","Buqayqilah"
"LY","Misratah","Bu Rawiyyah"
"LY","Awbari","Burayk"
"LY","Misratah","Bu Rueia"
"LY","Tarabulus","Busetta"
"LY","Tarabulus","Bu Sittah"
"LY","Tarabulus","Buslim"
"LY","Misratah","Buwayrat Al Hasun"
"LY","Gharyan","Bu Zaian"
"LY","Gharyan","Bu Zayyan"
"LY","Gharyan","Bu Zeian"
"LY","Ghadamis","Cabao"
"LY","Al Jabal Al Akhdar","Caf El-Gebeihia"
"LY","Al Jabal Al Akhdar","Caf Meias"
"LY","Banghazi","Caminus"
"LY","Gharyan","Cammun"
"LY","Banghazi","Carcura"
"LY","Banghazi","Carmet Decheilalla"
"LY","Tarabulus","Castel Benito"
"LY","Al Khums","Chalfun"
"LY","Darnah","Chersa"
"LY","Gharyan","Chicla"
"LY","Awbari","Chlef"
"LY","Sabha","Coefia"
"LY","Tarhunah","Concessione Catarella"
"LY","Al Khums","Corradini"
"LY","Misratah","Crispi"
"LY","Murzuq","Curni Eberbeidiaa"
"LY","Murzuq","Curni Ebredaa"
"LY","Al Khums","Cussabat"
"LY","Ash Shati'","Dabdab"
"LY","An Nuqat Al Khams","Dahman"
"LY","Banghazi","Dakakin Hamid"
"LY","Banghazi","Dakakin Humayd"
"LY","Al Fatih","D'Annuinzio"
"LY","Gharyan","Dannun"
"LY","Al Fatih","D'Annunzio"
"LY","Ghadamis","Daqqi"
"LY","Az Zawiyah","Dara Geddaim"
"LY","Ghadamis","Daraj"
"LY","Banghazi","Dar Al Kish"
"LY","Banghazi","Dar El-Kish"
"LY","Darnah","Darnah"
"LY","Darnah","Darnis"
"LY","Ash Shati'","Debdeb"
"LY","Ghadamis","Degghi"
"LY","Al Jabal Al Akhdar","De Martino"
"LY","Gharyan","Dennun"
"LY","Ghadamis","Derg"
"LY","Ghadamis","Derj"
"LY","Darnah","Derna"
"LY","Ghadamis","Dirj"
"LY","Yafran","Djemmari"
"LY","Murzuq","Dlem"
"LY","Banghazi","Drepanun"
"LY","Ash Shati'","Duesa"
"LY","Murzuq","Dugial"
"LY","Murzuq","Dujal"
"LY","Murzuq","Dulaym"
"LY","Yafran","Dusein"
"LY","Yafran","Dushin"
"LY","Tarabulus","Ea"
"LY","Banghazi","Ed-Dacachin"
"LY","Tarabulus","Ed-Dachla"
"LY","Gharyan","Ed Diasir"
"LY","Gharyan","Ed-Dtasir"
"LY","Ash Shati'","Ed-Duesa"
"LY","Ash Shati'","Ederi"
"LY","Ash Shati'","Edri"
"LY","Gharyan","El Aaghib"
"LY","Gharyan","El-Aauati"
"LY","Awbari","El Abiad"
"LY","Al Khums","El-Acarit"
"LY","Tubruq","El Adem"
"LY","An Nuqat Al Khams","El Agelat"
"LY","Yafran","El-Agheiba"
"LY","Ajdabiya","El Agheila"
"LY","Yafran","El-Aghiba"
"LY","Gharyan","El-Aghib"
"LY","An Nuqat Al Khams","El Ajelat"
"LY","Yafran","El-Amian"
"LY","Gharyan","El-Asabaa"
"LY","Misratah","El-Asuach"
"LY","Misratah","El Asuagh"
"LY","Murzuq","El-Auenat"
"LY","Al Aziziyah","El Azizia"
"LY","Murzuq","El Bacchi"
"LY","Murzuq","Elbarcat"
"LY","Murzuq","El Barka"
